ID,CUSTOMERNAME,PHONE,PRODUCT,TRANSPORTINDUSTRY,PRODUCTCODE,ADDRESSLINE,CITY,COUNTRY,TERRITORY
2168,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S32_1268,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2169,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_1268,5677 Strong St.,San Rafael,USA,NA
2170,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_1268,5677 Strong St.,San Rafael,USA,NA
2171,Quebec Home Shopping Network,(514) 555-8054,Trucks and Buses,Land-Based,S32_1268,43 rue St. Laurent,Montreal,Canada,NA
2172,La Rochelle Gifts,40.67.8555,Trucks and Buses,Land-Based,S32_1268,"67, rue des Cinquante Otages",Nantes,France,EMEA
2173,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S32_1374,897 Long Airport Avenue,NYC,USA,NA
2174,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S32_1374,636 St Kilda Road,Melbourne,Australia,APAC
2175,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S32_1374,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2176,Toys4GrownUps.com,6265557265,Motorcycles,Land-Based,S32_1374,78934 Hillside Dr.,Pasadena,USA,NA
2177,Technics Stores Inc.,6505556809,Motorcycles,Land-Based,S32_1374,9408 Furth Circle,Burlingame,USA,NA
2178,Herkku Gifts,+47 2267 3215,Motorcycles,Land-Based,S32_1374,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
2179,Osaka Souveniers Co.,+81 06 6342 5555,Motorcycles,Land-Based,S32_1374,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,APAC
2180,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S32_1374,636 St Kilda Road,Melbourne,Australia,APAC
2181,"Royal Canadian Collectables, Ltd.",(604) 555-4555,Motorcycles,Land-Based,S32_1374,23 Tsawassen Blvd.,Tsawassen,Canada,NA
2182,The Sharp Gifts Warehouse,4085553659,Motorcycles,Land-Based,S32_1374,3086 Ingle Ln.,San Jose,USA,NA
2183,Gift Depot Inc.,2035552570,Motorcycles,Land-Based,S32_1374,25593 South Bay Ln.,Bridgewater,USA,NA
2184,La Rochelle Gifts,40.67.8555,Motorcycles,Land-Based,S32_1374,"67, rue des Cinquante Otages",Nantes,France,EMEA
2185,Marta's Replicas Co.,6175558555,Motorcycles,Land-Based,S32_1374,39323 Spinnaker Dr.,Cambridge,USA,NA
2186,"Clover Collections, Co.",+353 1862 1555,Motorcycles,Land-Based,S32_1374,25 Maiden Lane,Dublin,Ireland,EMEA
2187,Mini Classics,9145554562,Motorcycles,Land-Based,S32_1374,3758 North Pendale Street,White Plains,USA,NA
2188,Diecast Classics Inc.,2155551555,Motorcycles,Land-Based,S32_1374,7586 Pompton St.,Allentown,USA,NA
2189,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S32_1374,897 Long Airport Avenue,NYC,USA,NA
2190,Enaco Distributors,(93) 203 4555,Motorcycles,Land-Based,S32_1374,"Rambla de Catalu�a, 23",Barcelona,Spain,EMEA
2191,Gift Ideas Corp.,2035554407,Motorcycles,Land-Based,S32_1374,2440 Pompton St.,Glendale,USA,NA
2192,Suominen Souveniers,+358 9 8045 555,Motorcycles,Land-Based,S32_1374,"Software Engineering Center, SEC Oy",Espoo,Finland,EMEA
2193,La Rochelle Gifts,40.67.8555,Motorcycles,Land-Based,S32_1374,"67, rue des Cinquante Otages",Nantes,France,EMEA
2194,"Dragon Souveniers, Ltd.",+65 221 7555,Motorcycles,Land-Based,S32_1374,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
2195,Tekni Collectables Inc.,2015559350,Motorcycles,Land-Based,S32_1374,7476 Moss Rd.,Newark,USA,NA
2196,L'ordine Souveniers,0522-556555,Motorcycles,Land-Based,S32_1374,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
2197,Cruz & Sons Co.,+63 2 555 3587,Motorcycles,Land-Based,S32_2206,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,APAC
2198,Marseille Mini Autos,91.24.4555,Motorcycles,Land-Based,S32_2206,"12, rue des Bouchers",Marseille,France,EMEA
2199,Mini Gifts Distributors Ltd.,4155551450,Motorcycles,Land-Based,S32_2206,5677 Strong St.,San Rafael,USA,NA
2200,Toys4GrownUps.com,6265557265,Motorcycles,Land-Based,S32_2206,78934 Hillside Dr.,Pasadena,USA,NA
2201,Corporate Gift Ideas Co.,6505551386,Motorcycles,Land-Based,S32_2206,7734 Strong St.,San Francisco,USA,NA
2202,"Anna's Decorations, Ltd",02 9936 8555,Motorcycles,Land-Based,S32_2206,201 Miller Street,North Sydney,Australia,APAC
2203,Daedalus Designs Imports,20.16.1555,Motorcycles,Land-Based,S32_2206,"184, chausse de Tournai",Lille,France,EMEA
2204,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S32_2206,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2205,Auto Canal Petit,(1) 47.55.6555,Motorcycles,Land-Based,S32_2206,"25, rue Lauriston",Paris,France,EMEA
2206,Daedalus Designs Imports,20.16.1555,Motorcycles,Land-Based,S32_2206,"184, chausse de Tournai",Lille,France,EMEA
2207,Vitachrome Inc.,2125551500,Motorcycles,Land-Based,S32_2206,2678 Kingston Rd.,NYC,USA,NA
2208,Auto Canal Petit,(1) 47.55.6555,Motorcycles,Land-Based,S32_2206,"25, rue Lauriston",Paris,France,EMEA
2209,Gifts4AllAges.com,6175559555,Motorcycles,Land-Based,S32_2206,8616 Spinnaker Dr.,Boston,USA,NA
2210,Online Mini Collectables,6175557555,Motorcycles,Land-Based,S32_2206,7635 Spinnaker Dr.,Brickhaven,USA,NA
2211,Marta's Replicas Co.,6175558555,Motorcycles,Land-Based,S32_2206,39323 Spinnaker Dr.,Cambridge,USA,NA
2212,"Toys of Finland, Co.",90-224 8555,Motorcycles,Land-Based,S32_2206,Keskuskatu 45,Helsinki,Finland,EMEA
2213,"Toms Spezialitten, Ltd",0221-5554327,Motorcycles,Land-Based,S32_2206,Mehrheimerstr. 369,Koln,Germany,EMEA
2214,Microscale Inc.,2125551957,Motorcycles,Land-Based,S32_2206,5290 North Pendale Street,NYC,USA,NA
2215,Motor Mint Distributors Inc.,2155559857,Motorcycles,Land-Based,S32_2206,11328 Douglas Av.,Philadelphia,USA,NA
2216,Reims Collectables,26.47.1555,Motorcycles,Land-Based,S32_2206,59 rue de l'Abbaye,Reims,France,EMEA
2217,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S32_2206,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2218,Marseille Mini Autos,91.24.4555,Motorcycles,Land-Based,S32_2206,"12, rue des Bouchers",Marseille,France,EMEA
2219,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S32_2206,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2220,Mini Gifts Distributors Ltd.,4155551450,Motorcycles,Land-Based,S32_2206,5677 Strong St.,San Rafael,USA,NA
2221,"UK Collectables, Ltd.",(171) 555-2282,Motorcycles,Land-Based,S32_2206,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
2222,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S32_2509,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2223,"La Corne D'abondance, Co.",(1) 42.34.2555,Trucks and Buses,Land-Based,S32_2509,"265, boulevard Charonne",Paris,France,EMEA
2224,Muscle Machine Inc,2125557413,Trucks and Buses,Land-Based,S32_2509,4092 Furth Circle,NYC,USA,NA
2225,Suominen Souveniers,+358 9 8045 555,Trucks and Buses,Land-Based,S32_2509,"Software Engineering Center, SEC Oy",Espoo,Finland,EMEA
2226,"Oulu Toy Supplies, Inc.",981-443655,Trucks and Buses,Land-Based,S32_2509,Torikatu 38,Oulu,Finland,EMEA
2227,"Dragon Souveniers, Ltd.",+65 221 7555,Trucks and Buses,Land-Based,S32_2509,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
2228,"Stylish Desk Decors, Co.",(171) 555-0297,Trucks and Buses,Land-Based,S32_2509,35 King George,London,UK,EMEA
2229,"Iberia Gift Imports, Corp.",(95) 555 82 82,Trucks and Buses,Land-Based,S32_2509,"C/ Romero, 33",Sevilla,Spain,EMEA
2230,Mini Classics,9145554562,Trucks and Buses,Land-Based,S32_2509,3758 North Pendale Street,White Plains,USA,NA
2231,Diecast Collectables,6175552555,Trucks and Buses,Land-Based,S32_2509,6251 Ingle Ln.,Boston,USA,NA
2232,Signal Collectibles Ltd.,4155554312,Trucks and Buses,Land-Based,S32_2509,2793 Furth Circle,Brisbane,USA,NA
2233,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_2509,5677 Strong St.,San Rafael,USA,NA
2234,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S32_2509,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2235,Handji Gifts& Co,+65 224 1555,Trucks and Buses,Land-Based,S32_2509,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
2236,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_2509,5677 Strong St.,San Rafael,USA,NA
2237,Diecast Classics Inc.,2155551555,Trucks and Buses,Land-Based,S32_2509,7586 Pompton St.,Allentown,USA,NA
2238,Land of Toys Inc.,2125557818,Trucks and Buses,Land-Based,S32_2509,897 Long Airport Avenue,NYC,USA,NA
2239,Marta's Replicas Co.,6175558555,Trucks and Buses,Land-Based,S32_2509,39323 Spinnaker Dr.,Cambridge,USA,NA
2240,Canadian Gift Exchange Network,(604) 555-3392,Trucks and Buses,Land-Based,S32_2509,1900 Oak St.,Vancouver,Canada,NA
2241,Baane Mini Imports,07-98 9555,Trucks and Buses,Land-Based,S32_2509,Erling Skakkes gate 78,Stavern,Norway,EMEA
2242,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_2509,5677 Strong St.,San Rafael,USA,NA
2243,Muscle Machine Inc,2125557413,Trucks and Buses,Land-Based,S32_2509,4092 Furth Circle,NYC,USA,NA
2244,Reims Collectables,26.47.1555,Trucks and Buses,Land-Based,S32_2509,59 rue de l'Abbaye,Reims,France,EMEA
2245,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_2509,5677 Strong St.,San Rafael,USA,NA
2246,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S32_2509,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2247,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S32_2509,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2248,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S32_2509,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2249,La Rochelle Gifts,40.67.8555,Trucks and Buses,Land-Based,S32_2509,"67, rue des Cinquante Otages",Nantes,France,EMEA
2250,Euro Shopping Channel,(91) 555 94 44,Trains,Land-Based,S32_3207,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2251,Royale Belge,(071) 23 67 2555,Trains,Land-Based,S32_3207,"Boulevard Tirou, 255",Charleroi,Belgium,EMEA
2252,Muscle Machine Inc,2125557413,Trains,Land-Based,S32_3207,4092 Furth Circle,NYC,USA,NA
2253,Mini Gifts Distributors Ltd.,4155551450,Trains,Land-Based,S32_3207,5677 Strong St.,San Rafael,USA,NA
2254,"Australian Gift Network, Co",61-7-3844-6555,Trains,Land-Based,S32_3207,31 Duncan St. West End,South Brisbane,Australia,APAC
2255,"Dragon Souveniers, Ltd.",+65 221 7555,Trains,Land-Based,S32_3207,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
2256,L'ordine Souveniers,0522-556555,Trains,Land-Based,S32_3207,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
2257,"Iberia Gift Imports, Corp.",(95) 555 82 82,Trains,Land-Based,S32_3207,"C/ Romero, 33",Sevilla,Spain,EMEA
2258,Mini Classics,9145554562,Trains,Land-Based,S32_3207,3758 North Pendale Street,White Plains,USA,NA
2259,Diecast Collectables,6175552555,Trains,Land-Based,S32_3207,6251 Ingle Ln.,Boston,USA,NA
2260,"Clover Collections, Co.",+353 1862 1555,Trains,Land-Based,S32_3207,25 Maiden Lane,Dublin,Ireland,EMEA
2261,"Blauer See Auto, Co.",+49 69 66 90 2555,Trains,Land-Based,S32_3207,Lyonerstr. 34,Frankfurt,Germany,EMEA
2262,Suominen Souveniers,+358 9 8045 555,Trains,Land-Based,S32_3207,"Software Engineering Center, SEC Oy",Espoo,Finland,EMEA
2263,Diecast Classics Inc.,2155551555,Trains,Land-Based,S32_3207,7586 Pompton St.,Allentown,USA,NA
2264,Mini Gifts Distributors Ltd.,4155551450,Trains,Land-Based,S32_3207,5677 Strong St.,San Rafael,USA,NA
2265,Land of Toys Inc.,2125557818,Trains,Land-Based,S32_3207,897 Long Airport Avenue,NYC,USA,NA
2266,"AV Stores, Co.",(171) 555-1555,Trains,Land-Based,S32_3207,Fauntleroy Circus,Manchester,UK,EMEA
2267,Heintze Collectables,86 21 3555,Trains,Land-Based,S32_3207,Smagsloget 45,Aaarhus,Denmark,EMEA
2268,Baane Mini Imports,07-98 9555,Trains,Land-Based,S32_3207,Erling Skakkes gate 78,Stavern,Norway,EMEA
2269,"La Corne D'abondance, Co.",(1) 42.34.2555,Trains,Land-Based,S32_3207,"265, boulevard Charonne",Paris,France,EMEA
2270,Euro Shopping Channel,(91) 555 94 44,Trains,Land-Based,S32_3207,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2271,Reims Collectables,26.47.1555,Trains,Land-Based,S32_3207,59 rue de l'Abbaye,Reims,France,EMEA
2272,Mini Gifts Distributors Ltd.,4155551450,Trains,Land-Based,S32_3207,5677 Strong St.,San Rafael,USA,NA
2273,Euro Shopping Channel,(91) 555 94 44,Trains,Land-Based,S32_3207,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2274,Euro Shopping Channel,(91) 555 94 44,Trains,Land-Based,S32_3207,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2275,Gift Depot Inc.,2035552570,Trains,Land-Based,S32_3207,25593 South Bay Ln.,Bridgewater,USA,NA
2276,Baane Mini Imports,07-98 9555,Trucks and Buses,Land-Based,S32_3522,Erling Skakkes gate 78,Stavern,Norway,EMEA
2277,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_3522,5677 Strong St.,San Rafael,USA,NA
2278,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Trucks and Buses,Land-Based,S32_3522,"C/ Araquil, 67",Madrid,Spain,EMEA
2279,Technics Stores Inc.,6505556809,Trucks and Buses,Land-Based,S32_3522,9408 Furth Circle,Burlingame,USA,NA
2280,"Dragon Souveniers, Ltd.",+65 221 7555,Trucks and Buses,Land-Based,S32_3522,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
2281,Mini Auto Werke,7675-3555,Trucks and Buses,Land-Based,S32_3522,Kirchgasse 6,Graz,Austria,EMEA
2282,"Stylish Desk Decors, Co.",(171) 555-0297,Trucks and Buses,Land-Based,S32_3522,35 King George,London,UK,EMEA
2283,"Classic Gift Ideas, Inc",2155554695,Trucks and Buses,Land-Based,S32_3522,782 First Street,Philadelphia,USA,NA
2284,"Saveley & Henriot, Co.",78.32.5555,Trucks and Buses,Land-Based,S32_3522,"2, rue du Commerce",Lyon,France,EMEA
2285,Canadian Gift Exchange Network,(604) 555-3392,Trucks and Buses,Land-Based,S32_3522,1900 Oak St.,Vancouver,Canada,NA
2286,Handji Gifts& Co,+65 224 1555,Trucks and Buses,Land-Based,S32_3522,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
2287,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_3522,5677 Strong St.,San Rafael,USA,NA
2288,Super Scale Inc.,2035559545,Trucks and Buses,Land-Based,S32_3522,567 North Pendale Street,New Haven,USA,NA
2289,"Tokyo Collectables, Ltd",+81 3 3584 0555,Trucks and Buses,Land-Based,S32_3522,2-2-8 Roppongi,Minato-ku,Japan,APAC
2290,Souveniers And Things Co.,+61 2 9495 8555,Trucks and Buses,Land-Based,S32_3522,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
2291,Diecast Classics Inc.,2155551555,Trucks and Buses,Land-Based,S32_3522,7586 Pompton St.,Allentown,USA,NA
2292,Scandinavian Gift Ideas,0695-34 6555,Trucks and Buses,Land-Based,S32_3522,?kergatan 24,Boras,Sweden,EMEA
2293,Auto Assoc. & Cie.,30.59.8555,Trucks and Buses,Land-Based,S32_3522,"67, avenue de l'Europe",Versailles,France,EMEA
2294,Canadian Gift Exchange Network,(604) 555-3392,Trucks and Buses,Land-Based,S32_3522,1900 Oak St.,Vancouver,Canada,NA
2295,Vitachrome Inc.,2125551500,Trucks and Buses,Land-Based,S32_3522,2678 Kingston Rd.,NYC,USA,NA
2296,Mini Wheels Co.,6505555787,Trucks and Buses,Land-Based,S32_3522,5557 North Pendale Street,San Francisco,USA,NA
2297,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Trucks and Buses,Land-Based,S32_3522,"C/ Araquil, 67",Madrid,Spain,EMEA
2298,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S32_3522,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2299,"Anna's Decorations, Ltd",02 9936 8555,Trucks and Buses,Land-Based,S32_3522,201 Miller Street,North Sydney,Australia,APAC
2300,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S32_3522,5677 Strong St.,San Rafael,USA,NA
2301,Quebec Home Shopping Network,(514) 555-8054,Trucks and Buses,Land-Based,S32_3522,43 rue St. Laurent,Montreal,Canada,NA
2302,Euro Shopping Channel,(91) 555 94 44,Trucks and Buses,Land-Based,S32_3522,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2303,Rovelli Gifts,035-640555,Vintage Cars,Land-Based,S32_4289,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
2304,"Australian Collectors, Co.",03 9520 4555,Vintage Cars,Land-Based,S32_4289,636 St Kilda Road,Melbourne,Australia,APAC
2305,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S32_4289,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2306,Royale Belge,(071) 23 67 2555,Vintage Cars,Land-Based,S32_4289,"Boulevard Tirou, 255",Charleroi,Belgium,EMEA
2307,Technics Stores Inc.,6505556809,Vintage Cars,Land-Based,S32_4289,9408 Furth Circle,Burlingame,USA,NA
2308,Osaka Souveniers Co.,+81 06 6342 5555,Vintage Cars,Land-Based,S32_4289,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,APAC
2309,"Australian Collectors, Co.",03 9520 4555,Vintage Cars,Land-Based,S32_4289,636 St Kilda Road,Melbourne,Australia,APAC
2310,"Royal Canadian Collectables, Ltd.",(604) 555-4555,Vintage Cars,Land-Based,S32_4289,23 Tsawassen Blvd.,Tsawassen,Canada,NA
2311,The Sharp Gifts Warehouse,4085553659,Vintage Cars,Land-Based,S32_4289,3086 Ingle Ln.,San Jose,USA,NA
2312,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S32_4289,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2313,La Rochelle Gifts,40.67.8555,Vintage Cars,Land-Based,S32_4289,"67, rue des Cinquante Otages",Nantes,France,EMEA
2314,"Norway Gifts By Mail, Co.",+47 2212 1555,Vintage Cars,Land-Based,S32_4289,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,EMEA
2315,"Clover Collections, Co.",+353 1862 1555,Vintage Cars,Land-Based,S32_4289,25 Maiden Lane,Dublin,Ireland,EMEA
2316,Mini Classics,9145554562,Vintage Cars,Land-Based,S32_4289,3758 North Pendale Street,White Plains,USA,NA
2317,giftsbymail.co.uk,(198) 555-8888,Vintage Cars,Land-Based,S32_4289,Garden House Crowther Way,Cowes,UK,EMEA
2318,Rovelli Gifts,035-640555,Vintage Cars,Land-Based,S32_4289,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
2319,Enaco Distributors,(93) 203 4555,Vintage Cars,Land-Based,S32_4289,"Rambla de Catalu�a, 23",Barcelona,Spain,EMEA
2320,Gift Ideas Corp.,2035554407,Vintage Cars,Land-Based,S32_4289,2440 Pompton St.,Glendale,USA,NA
2321,Souveniers And Things Co.,+61 2 9495 8555,Vintage Cars,Land-Based,S32_4289,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
2322,La Rochelle Gifts,40.67.8555,Vintage Cars,Land-Based,S32_4289,"67, rue des Cinquante Otages",Nantes,France,EMEA
2323,FunGiftIdeas.com,5085552555,Vintage Cars,Land-Based,S32_4289,1785 First Street,New Bedford,USA,NA
2324,Reims Collectables,26.47.1555,Vintage Cars,Land-Based,S32_4289,59 rue de l'Abbaye,Reims,France,EMEA
2325,Tekni Collectables Inc.,2015559350,Vintage Cars,Land-Based,S32_4289,7476 Moss Rd.,Newark,USA,NA
2326,L'ordine Souveniers,0522-556555,Vintage Cars,Land-Based,S32_4289,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
2327,Cruz & Sons Co.,+63 2 555 3587,Motorcycles,Land-Based,S32_4485,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,APAC
2328,Reims Collectables,26.47.1555,Motorcycles,Land-Based,S32_4485,59 rue de l'Abbaye,Reims,France,EMEA
2329,Mini Gifts Distributors Ltd.,4155551450,Motorcycles,Land-Based,S32_4485,5677 Strong St.,San Rafael,USA,NA
2330,Toys4GrownUps.com,6265557265,Motorcycles,Land-Based,S32_4485,78934 Hillside Dr.,Pasadena,USA,NA
2331,Corporate Gift Ideas Co.,6505551386,Motorcycles,Land-Based,S32_4485,7734 Strong St.,San Francisco,USA,NA
2332,"Anna's Decorations, Ltd",02 9936 8555,Motorcycles,Land-Based,S32_4485,201 Miller Street,North Sydney,Australia,APAC
2333,Daedalus Designs Imports,20.16.1555,Motorcycles,Land-Based,S32_4485,"184, chausse de Tournai",Lille,France,EMEA
2334,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S32_4485,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2335,Auto Canal Petit,(1) 47.55.6555,Motorcycles,Land-Based,S32_4485,"25, rue Lauriston",Paris,France,EMEA
2336,Daedalus Designs Imports,20.16.1555,Motorcycles,Land-Based,S32_4485,"184, chausse de Tournai",Lille,France,EMEA
2337,Vitachrome Inc.,2125551500,Motorcycles,Land-Based,S32_4485,2678 Kingston Rd.,NYC,USA,NA
2338,Auto Canal Petit,(1) 47.55.6555,Motorcycles,Land-Based,S32_4485,"25, rue Lauriston",Paris,France,EMEA
2339,Gifts4AllAges.com,6175559555,Motorcycles,Land-Based,S32_4485,8616 Spinnaker Dr.,Boston,USA,NA
2340,Online Mini Collectables,6175557555,Motorcycles,Land-Based,S32_4485,7635 Spinnaker Dr.,Brickhaven,USA,NA
2341,Marta's Replicas Co.,6175558555,Motorcycles,Land-Based,S32_4485,39323 Spinnaker Dr.,Cambridge,USA,NA
2342,"Toys of Finland, Co.",90-224 8555,Motorcycles,Land-Based,S32_4485,Keskuskatu 45,Helsinki,Finland,EMEA
2343,Baane Mini Imports,07-98 9555,Motorcycles,Land-Based,S32_4485,Erling Skakkes gate 78,Stavern,Norway,EMEA
2344,Microscale Inc.,2125551957,Motorcycles,Land-Based,S32_4485,5290 North Pendale Street,NYC,USA,NA
2345,Motor Mint Distributors Inc.,2155559857,Motorcycles,Land-Based,S32_4485,11328 Douglas Av.,Philadelphia,USA,NA
2346,Salzburg Collectables,6562-9555,Motorcycles,Land-Based,S32_4485,Geislweg 14,Salzburg,Austria,EMEA
2347,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S32_4485,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2348,Mini Creations Ltd.,5085559555,Motorcycles,Land-Based,S32_4485,4575 Hillside Dr.,New Bedford,USA,NA
2349,La Rochelle Gifts,40.67.8555,Motorcycles,Land-Based,S32_4485,"67, rue des Cinquante Otages",Nantes,France,EMEA
2350,Mini Gifts Distributors Ltd.,4155551450,Motorcycles,Land-Based,S32_4485,5677 Strong St.,San Rafael,USA,NA
2351,"UK Collectables, Ltd.",(171) 555-2282,Motorcycles,Land-Based,S32_4485,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
2352,Rovelli Gifts,035-640555,Vintage Cars,Land-Based,S50_1341,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
2353,"Australian Collectors, Co.",03 9520 4555,Vintage Cars,Land-Based,S50_1341,636 St Kilda Road,Melbourne,Australia,APAC
2354,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S50_1341,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2355,Mini Creations Ltd.,5085559555,Vintage Cars,Land-Based,S50_1341,4575 Hillside Dr.,New Bedford,USA,NA
2356,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S50_1341,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2357,Technics Stores Inc.,6505556809,Vintage Cars,Land-Based,S50_1341,9408 Furth Circle,Burlingame,USA,NA
2358,West Coast Collectables Co.,3105553722,Vintage Cars,Land-Based,S50_1341,3675 Furth Circle,Burbank,USA,NA
2359,Osaka Souveniers Co.,+81 06 6342 5555,Vintage Cars,Land-Based,S50_1341,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,APAC
2360,"Australian Collectors, Co.",03 9520 4555,Vintage Cars,Land-Based,S50_1341,636 St Kilda Road,Melbourne,Australia,APAC
2361,"Royal Canadian Collectables, Ltd.",(604) 555-4555,Vintage Cars,Land-Based,S50_1341,23 Tsawassen Blvd.,Tsawassen,Canada,NA
2362,The Sharp Gifts Warehouse,4085553659,Vintage Cars,Land-Based,S50_1341,3086 Ingle Ln.,San Jose,USA,NA
2363,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S50_1341,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
2364,La Rochelle Gifts,40.67.8555,Vintage Cars,Land-Based,S50_1341,"67, rue des Cinquante Otages",Nantes,France,EMEA
2365,"Norway Gifts By Mail, Co.",+47 2212 1555,Vintage Cars,Land-Based,S50_1341,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,EMEA
2366,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Vintage Cars,Land-Based,S50_1341,Hansastr. 15,Munich,Germany,EMEA
2367,Mini Classics,9145554562,Vintage Cars,Land-Based,S50_1341,3758 North Pendale Street,White Plains,USA,NA
2368,giftsbymail.co.uk,(198) 555-8888,Vintage Cars,Land-Based,S50_1341,Garden House Crowther Way,Cowes,UK,EMEA
2369,Rovelli Gifts,035-640555,Vintage Cars,Land-Based,S50_1341,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
2370,Enaco Distributors,(93) 203 4555,Vintage Cars,Land-Based,S50_1341,"Rambla de Catalu�a, 23",Barcelona,Spain,EMEA
2371,Gift Ideas Corp.,2035554407,Vintage Cars,Land-Based,S50_1341,2440 Pompton St.,Glendale,USA,NA
2372,Souveniers And Things Co.,+61 2 9495 8555,Vintage Cars,Land-Based,S50_1341,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
